mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.09463496208190918,0.013053844340752047,0.0061627388000488285,0.0007758828181325489,20,10,50,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}",0.9807692307692307,0.9607843137254902,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9687028657616892,0.015743456513617384,25,0.9950980392156863,1.0,0.9902439024390244,0.9951219512195122,0.9951219512195122,0.995117168818747,0.003085163763458231
0.1854341983795166,0.006483046220020838,0.008091211318969727,0.001373543194624247,20,10,100,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,1.0,1.0,0.9951219512195122,1.0,0.9951219512195122,0.9980487804878049,0.002389746090520176
0.377469539642334,0.03450669928680491,0.01960787773132324,0.0051283649411430435,20,10,200,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,1.0,1.0,1.0,1.0,0.9902439024390244,0.9980487804878049,0.0039024390243902474
0.0853653907775879,0.002061138611411311,0.005210065841674804,0.0005856549151547442,30,2,50,"{'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 50}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9765460030165911,0.007882197665432201,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.17327847480773925,0.01230640610733462,0.011409950256347657,0.0033813295845091496,30,2,100,"{'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9607843137254902,0.9726244343891401,0.009668398498061713,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.36694941520690916,0.02166779462156764,0.015841960906982422,0.0029170323372439055,30,2,200,"{'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.9607843137254902,0.9726244343891401,0.009668398498061713,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09620075225830078,0.007424143319931738,0.005345726013183593,0.0016795253978121685,30,5,50,"{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 50}",0.9807692307692307,0.9607843137254902,0.9803921568627451,0.9607843137254902,0.9803921568627451,0.9726244343891401,0.009668398498061713,6,1.0,1.0,0.9951219512195122,1.0,0.9951219512195122,0.9980487804878049,0.002389746090520176
0.19696621894836425,0.011560392727201883,0.010205650329589843,0.0012713545896111324,30,5,100,"{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9607843137254902,0.9687028657616892,0.015743456513617384,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3741783618927002,0.011199712993770025,0.015902328491210937,0.0024410588345102355,30,5,200,"{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9607843137254902,0.9687028657616892,0.015743456513617384,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09239702224731446,0.008414835787254677,0.006592082977294922,0.0025689317692824177,30,10,50,"{'max_depth': 30, 'min_samples_split': 10, 'n_estimators': 50}",0.9807692307692307,0.9607843137254902,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9687028657616892,0.015743456513617384,25,0.9950980392156863,1.0,0.9902439024390244,0.9951219512195122,0.9951219512195122,0.995117168818747,0.003085163763458231
0.18827533721923828,0.009772671242698918,0.009648656845092774,0.00232415365836682,30,10,100,"{'max_depth': 30, 'min_samples_split': 10, 'n_estimators': 100}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,1.0,1.0,0.9951219512195122,1.0,0.9951219512195122,0.9980487804878049,0.002389746090520176
0.3374988079071045,0.017544903656119524,0.01157073974609375,0.004180540539962988,30,10,200,"{'max_depth': 30, 'min_samples_split': 10, 'n_estimators': 200}",0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.9726244343891401,0.015724660076306893,6,1.0,1.0,1.0,1.0,0.9902439024390244,0.9980487804878049,0.0039024390243902474
